country,Total_daily_vaccination_raw,Total_daily_vaccination,Pourcentage_daily_vaccination
Venezuela,0,37861146,0
Netherlands,0,34007500,0
Austria,0,18131949,0
Angola,0,17435547,0
Belarus,0,11509794,0
"Costa Rica",0,10092933,0
Nicaragua,0,9616160,0
Turkmenistan,0,7653267,0
Slovakia,0,7036417,0
Tanzania,0,4967642,0
Syria,0,3365307,0
Benin,0,3265021,0
Togo,0,2756117,0
Niger,0,2680539,0
"Burkina Faso",0,2364862,0
Armenia,0,2079254,0
Mali,0,1849432,0
Lesotho,0,902652,0
Yemen,0,794952,0
Comoros,0,628825,0
"Papua New Guinea",0,571996,0
Chad,0,414391,0
"New Caledonia",0,366896,0
"Solomon Islands",0,351879,0
Samoa,0,296358,0
"Sao Tome and Principe",0,201127,0
Vanuatu,0,195446,0
Jersey,0,181880,0
Djibouti,0,155429,0
Tonga,0,145202,0
Kiribati,0,133016,0
Bermuda,0,127654,0
"Turks and Caicos Islands",0,69572,0
Monaco,0,65072,0
"Sint Maarten (Dutch part)",0,37950,0
"Bonaire Sint Eustatius and Saba",0,28420,0
"Cook Islands",0,26789,0
"British Virgin Islands",0,25262,0
"Wallis and Futuna",0,12538,0
Tuvalu,0,9639,0
"Saint Helena",0,7718,0
"Falkland Islands",0,4933,0
Niue,0,4324,0
Montserrat,0,4320,0
Tokelau,0,1966,0
Pitcairn,0,43,0
Myanmar,3800,48927388,0.0077666112076123905
Iraq,9985,17478087,0.057128677755179956
Gambia,429,364195,0.11779403890772801
"Equatorial Guinea",639,467283,0.13674796643575735
Congo,1486,806924,0.18415612870604914
"French Polynesia",855,365451,0.23395749361747542
Afghanistan,13742,5741998,0.23932436061454565
Gabon,1486,548794,0.27077555512633156
Guinea-Bissau,1658,558071,0.2970948141007148
"Northern Cyprus",1988,602390,0.33001875861153074
Sweden,72534,21010705,0.3452240179470418
"Sierra Leone",7981,2062290,0.3869969790863555
Kuwait,30927,7788956,0.3970621993499514
Botswana,10435,2120207,0.4921689250153405
Timor,7881,1293998,0.6090426723998028
Cameroon,10290,1488796,0.6911625232738401
Sudan,45572,6073043,0.7503981117867928
Liberia,10089,1093880,0.922313233627089
Mauritania,24659,2648902,0.9309140164490797
Oman,65081,6976429,0.9328698106151442
Nauru,168,17063,0.9845865322627908
"Cape Verde",7462,727920,1.02511264974173
Madagascar,13544,1297552,1.0438117316300233
Mozambique,295812,26239037,1.1273736913439314
Grenada,1037,87153,1.1898615079228483
Tajikistan,124745,10235637,1.2187321609783544
Algeria,170786,13697360,1.2468534082480127
"Central African Republic",12887,1005564,1.2815693481469106
"South Sudan",7489,570445,1.3128347167562167
Mauritius,35153,2476828,1.4192749758965904
Ghana,180950,12605420,1.4354936209979516
Somalia,37292,2240573,1.6643956702147176
Honduras,229026,11950310,1.9164858484842653
Fiji,28295,1308133,2.163006360973999
Egypt,2078777,75906019,2.7386194499279433
Bahamas,9258,334063,2.7713335508571735
Panama,231431,7855366,2.946151713363833
Andorra,4802,151499,3.1696578855305977
Burundi,460,12150,3.7860082304526745
Uganda,720077,17114131,4.207499638748821
"Democratic Republic of Congo",42303,951397,4.44640880725922
"Bosnia and Herzegovina",93862,1913728,4.904667747976724
Rwanda,920644,18478476,4.982250700761253
Libya,200655,3418436,5.869789576285763
Anguilla,1421,23128,6.1440677966101696
"Antigua and Barbuda",8412,127997,6.572029031930436
Dominica,6417,62881,10.20499037865174
Nigeria,3160328,30801024,10.26046406768814
"Saint Kitts and Nevis",6553,61352,10.680988394836353
Finland,1254404,11682015,10.737907801008644
"Cayman Islands",15339,141749,10.821240361484032
Guernsey,15931,145792,10.927211369622476
Iran,19055290,146357015,13.019731237344518
Senegal,348554,2500714,13.938179256004485
Guyana,144957,888738,16.310431195695468
Haiti,41453,248463,16.68377182920596
Laos,1888843,9982259,18.921999519347274
Seychelles,42863,200773,21.348986168458907
Eswatini,110765,518082,21.37982018290541
"Cote d'Ivoire",2285727,10317345,22.15421700059463
"Saint Lucia",26255,117974,22.25490362283215
Cyprus,428204,1767377,24.22822069088825
Brunei,262753,1067347,24.617392469365633
Belize,122692,467027,26.27085800178576
Guinea,1586407,5862557,27.05998423554773
"Saint Vincent and the Grenadines",17117,61144,27.994570194949624
Nepal,11181021,39804602,28.089769620105738
Namibia,234709,831696,28.220527692810837
"San Marino",20141,68643,29.34166630246347
Iceland,258851,800598,32.33220667551006
Uzbekistan,15127072,43932105,34.43284131274839
"Faeroe Islands",34813,100064,34.79073393028462
Jamaica,517817,1398881,37.016515343335136
Philippines,54949064,144426925,38.04627426638073
Serbia,3263470,8490135,38.43837583265755
Pakistan,87537406,217745032,40.201792525856575
Zambia,1395616,3367782,41.44021198521757
Bhutan,862033,2027553,42.51592929999857
Jordan,4260392,9706638,43.89153072361409
Palestine,1655605,3620769,45.72523129755033
"South Africa",15916961,33331178,47.753970771750105
"El Salvador",4964236,10357605,47.92841588378781
Paraguay,4105501,8406382,48.837906723724906
Bangladesh,114220220,232845439,49.05409377591459
"Isle of Man",93201,186299,50.02764373399749
Georgia,1438551,2853746,50.40921651751768
Morocco,27406052,54300576,50.471015261421904
Hungary,8276404,16376999,50.53675584885852
Albania,1417691,2748980,51.5715283486966
"North Macedonia",950551,1835527,51.7862717355833
Greenland,43336,77373,56.00920217646983
Macao,744701,1227187,60.68357960115288
Colombia,49425698,80325853,61.53149472312482
Vietnam,124338690,201816053,61.60991068435968
Moldova,1334576,2118182,63.005728497362355
Malawi,1280039,1989350,64.34458491467062
Kenya,11113785,17240992,64.46140106091343
Tunisia,8546232,13034732,65.5650764434589
Spain,63202201,93768856,67.40212443244482
Suriname,343344,505414,67.93321910354679
Poland,37720015,53904067,69.9761949316366
Croatia,3700529,5217712,70.92244646695717
Japan,179475445,251739703,71.29405606711151
Kosovo,1335918,1821660,73.33519976285366
Aruba,110150,147104,74.87899717206874
Kyrgyzstan,2206056,2888903,76.3631039186847
Gibraltar,91192,118060,77.24208029815348
Taiwan,38468171,49343587,77.9598187703703
Azerbaijan,10497102,13406873,78.29642303615466
Mexico,150635402,190175636,79.20857012409309
Ethiopia,23047615,28971509,79.5526908867605
Qatar,5261743,6598209,79.74501868613135
Mongolia,4412231,5481513,80.49294054397025
Curacao,185389,229657,80.72429753937394
Indonesia,313487313,373213575,83.99676056799382
"United Arab Emirates",20184338,23704599,85.14945981579355
Maldives,778533,913251,85.24852422827898
"Sri Lanka",33589253,39089813,85.92840543903344
Portugal,19698543,22920938,85.94126034458101
Guatemala,13410832,15603719,85.94638239768354
Bahrain,2927653,3399681,86.1155208385728
"Dominican Republic",13464273,15475985,87.00107295270705
Thailand,113541964,128433095,88.40553441463044
Kazakhstan,18655980,20891256,89.30042310524556
Russia,145843660,163251520,89.3367853481548
Montenegro,600139,668465,89.77867203219316
Lebanon,4824180,5270519,91.53140326408082
Cuba,30945393,33802957,91.54640820328234
Barbados,289018,314227,91.97745578833137
Luxembourg,1190164,1279632,93.00830238693625
Zimbabwe,8209882,8754303,93.78110398966085
"Saudi Arabia",58669335,62105262,94.46757506634462
Greece,19596342,20470918,95.72771480008859
"Northern Ireland",3529859,3686755,95.74433343143225
Bulgaria,4177499,4347686,96.0855728771581
India,1765216398,1829085487,96.50814084667219
Cambodia,35597309,36716148,96.9527331679783
Scotland,11644353,11979542,97.20198818953179
Malta,1218519,1246893,97.72442382786654
China,3182669000,3250342496,97.91795799724855
Turkey,144526459,147484328,97.99445199357046
Ecuador,32494483,33080034,98.22989601522175
"Trinidad and Tobago",1520081,1542653,98.53680639780949
Canada,81534153,82010216,99.41950768670088
Australia,55798854,56071891,99.51305904771431
Wales,6827978,6859138,99.54571551119106
"United Kingdom",138235754,138825154,99.57543717185432
Brazil,409720779,411378534,99.59702442811466
England,115836937,116298428,99.60318380227805
Ireland,10692692,10729599,99.6560262876553
Israel,18062784,18119560,99.68665905794622
Bolivia,12900359,12926843,99.79512399121735
Lithuania,4463352,4469241,99.86823265963952
Slovenia,2970807,2974046,99.89109112636456
Romania,16733505,16736695,99.98094008404885
Czechia,17490765,17491237,99.99730150589122
Estonia,1971366,1971332,100.00172472216755
Germany,171915651,171903993,100.00678169238337
"United States",560151503,560111606,100.00712304468836
Norway,11269240,11267309,100.01713807618128
Liechtenstein,70434,70420,100.01988071570575
Denmark,13211735,13209023,100.0205314200755
Uruguay,8027368,8025066,100.02868512234042
Switzerland,15635046,15629760,100.03382009704565
Latvia,2874313,2873254,100.03685716612594
France,141665604,141586302,100.05600965551031
Belgium,25235487,25221195,100.056666625035
"South Korea",120556133,120483456,100.06032114483834
Italy,135863520,135755490,100.07957689224945
Argentina,96484179,96396690,100.09075934038813
Malaysia,68794991,68692510,100.1491880264675
"New Zealand",10950137,10930674,100.17805855338837
Singapore,13825469,13798972,100.19202155059087
Chile,50301759,50166643,100.2693343463305
Peru,65552882,65303746,100.38150338266965
Ukraine,31683151,31526868,100.49571368776627
"Hong Kong",14926789,14782968,100.97288311792327
