country,Total_vaccination,Total_people_vaccinated,Total_people_fully_vaccinated,Pourcentage_vaccinations
Luxembourg,263977751,128931942,938940,0.728244673457257
Ethiopia,1587471140,1343118685,99504911,7.408497261729331
Palestine,160284960,101414392,14095899,13.899308295414322
Uzbekistan,1957102247,1057207838,170259728,16.104660018610268
Uganda,179260770,152422553,26596524,17.449205171100893
"Saint Helena",24233,19580,4653,23.764044943820224
Guinea-Bissau,13232962,12376544,3135815,25.336757983488766
Vietnam,16178365570,8973631303,2406458650,26.816999370093242
"Cote d'Ivoire",198019081,157736687,44619767,28.28750105547735
Zambia,28192063,30955954,10056869,32.48767264610873
"Falkland Islands",14163,10671,3492,32.724205791397246
Tokelau,3857,2889,968,33.50640359986154
Senegal,61929870,51011120,17284357,33.88350814489076
"Solomon Islands",4853407,3553889,1299518,36.566082958696796
Bhutan,71872546,50381603,18516679,36.75285798270452
Nigeria,733673302,523148542,204002929,38.99522078759803
Philippines,935017876,835630209,330259566,39.522214783884145
Libya,202816016,143396908,56832626,39.6330902755588
Chad,7002653,5029868,2032033,40.39933055897292
Sudan,45180910,36575959,15082105,41.235022709862506
Ghana,95856469,68458636,28774288,42.031640829069396
Moldova,53570872,39136885,16856259,43.07000672128096
Yemen,10546907,8551760,3769401,44.07748814279166
Kiribati,1017407,701040,316367,45.12823804633116
Namibia,27031086,18717869,8546898,45.66170433183393
"Democratic Republic of Congo",10899963,8904973,4116642,46.22857362958877
"Sao Tome and Principe",2535419,1704459,789067,46.294278712482964
Vanuatu,2225477,1505792,719685,47.794449698231894
Malawi,266138742,215940143,103362576,47.86630895210624
Pitcairn,348,235,113,48.08510638297872
Angola,372952576,249887443,121128587,48.47325881837128
Haiti,4984467,3432932,1716152,49.99085329974494
Guernsey,342673,201874,101521,50.2892893587089
Guinea,202891557,138029344,69742712,50.5274530609955
Tuvalu,51528,34166,17362,50.81660129953755
Cameroon,25256245,22021947,11594661,52.65048090434511
Congo,10939670,8441288,4450167,52.719051879286674
Belize,21555588,13842645,7301824,52.74876297123852
Nauru,119130,77773,41357,53.1765522739254
Mali,28680173,23574776,12537599,53.18226141363973
"Sierra Leone",16243279,13351532,7117767,53.310489013545414
Rwanda,204740103,122168306,65641112,53.73006645438794
Paraguay,418299487,257747681,138667461,53.79969296406589
Honduras,179986999,102710394,57788434,56.263472224631904
India,323440305798,205819738338,116436444996,56.57204986082844
"Burkina Faso",18266273,16373596,9691464,59.189587919477184
Bulgaria,191725925,122658170,73259529,59.7265791589749
Kenya,1333007643,872420023,523255651,59.97749217179533
Syria,32337385,22138350,13371087,60.39784807810881
Samoa,5115019,3181775,1933244,60.75992174179506
Mauritania,67973217,41982314,25601510,60.981655275123714
"Cape Verde",16341698,9837125,6011423,61.10955182535548
Taiwan,5585809712,3179143750,1948522890,61.290807941603774
Pakistan,15580589579,10098336204,6237563902,61.768233657434294
Guatemala,1954565774,1168500637,722077764,61.7952392267288
Niger,20285215,15483945,9573480,61.828429382822016
Guyana,58297983,35371205,21900171,61.91525281652124
Egypt,1769319486,1101722113,682233107,61.9242455924092
Venezuela,418178758,252080543,156938493,62.25728139597033
Togo,40463126,25074995,15657719,62.44355781526577
"Bosnia and Herzegovina",13550064,9897224,6182724,62.46927421264791
Somalia,32208616,23760345,14870014,62.58332528420778
Kyrgyzstan,441907793,244976298,154586297,63.102552476321605
Bangladesh,13205078414,7979274719,5082636380,63.697974552716985
Niue,11055,6074,3887,63.99407309845242
Suriname,69740098,42452518,27286389,64.27507786463926
Croatia,1122669068,578514301,375197475,64.85535004950552
Iraq,482053103,290906434,189446326,65.1227693368927
Eswatini,14411103,11590984,7567501,65.28782198301715
Nicaragua,178434850,107910574,70661921,65.48192487605525
Tajikistan,163421425,96213658,63386817,65.88130865994098
Timor,31418464,18886014,12450256,65.9231535039633
Botswana,25047730,21442026,14219777,66.31732001444266
Djibouti,1798467,1501766,999498,66.55484276511787
Indonesia,45214622016,34926315843,23257239277,66.58944327694174
Armenia,32934657,19655377,13178853,67.0496068327766
"Papua New Guinea",9997902,5968081,4029821,67.52289387493234
Brazil,77786604795,43447732662,29719018088,68.4017698212194
"South Sudan",5966143,4957007,3394071,68.470167582979
"San Marino",1894124,1008094,692716,68.71541741147155
Tonga,1974092,1166419,807673,69.24381375817781
Argentina,18678951288,10172659178,7109532830,69.8886368411467
Maldives,185031910,105736303,74345319,70.31200911195089
Colombia,8209707262,4957726031,3489621692,70.38754602775266
Oman,133495797,75748449,53320506,70.39154821506642
Brunei,61927129,35262200,24853666,70.48245997130071
Seychelles,8319724,4672051,3301719,70.6695838722651
"Saint Vincent and the Grenadines",4039473,2302114,1636167,71.07237087303236
Nepal,2421054011,1488101343,1059985034,71.23070206112972
Gabon,6369852,3701401,2667346,72.06314581965046
Laos,304325044,208464023,150249929,72.07475267806763
Anguilla,806657,426450,308095,72.24645327705475
Zimbabwe,1589014934,914215909,662973726,72.51828801854727
Grenada,3055000,1728164,1253521,72.53484044338384
Algeria,238946062,136020513,98696382,72.55992484015995
Fiji,41785670,24214030,17571640,72.56801119020668
Andorra,2387234,1255700,915747,72.92721191367364
Bolivia,2228459475,1350151663,985881943,73.0200887809446
Turkmenistan,15213698,8781628,6432070,73.24461933482038
"Equatorial Guinea",23238018,13386739,9846841,73.55668172808927
"Costa Rica",265394163,144920802,106834994,73.71957132834525
"Bonaire Sint Eustatius and Saba",43236,24835,18401,74.09301389168512
Greenland,6166081,3539569,2627296,74.22643830364657
Jamaica,185315300,111291569,82858134,74.45140251369806
"Antigua and Barbuda",6721754,3846273,2875481,74.76018992931598
Comoros,9534638,5452829,4094986,75.09837554047633
Mozambique,410088816,238964964,180534399,75.54848040401437
Bahamas,7393729,4116603,3121091,75.81714826520799
Mexico,28474981169,16486469275,12534314850,76.02789075649432
"Dominican Republic",3559094012,1844623731,1403227339,76.07119627802294
"Sri Lanka",6577738449,3454005724,2628998519,76.11448066610095
Finland,460273396,224935805,171348020,76.17640953159948
"Saint Kitts and Nevis",2795619,1552104,1186209,76.42587094679223
Scotland,2995364072,1483904428,1136319254,76.57630994009003
Georgia,372353872,210094431,161236982,76.74500520197036
England,31037114023,15364620469,11804284068,76.82769705777365
"United Kingdom",36851641768,18238350750,14031369961,76.93332666606382
"Isle of Man",26995012,13570356,10441830,76.94588115448113
"Saudi Arabia",10391703030,5599904489,4316117910,77.07484865997685
Panama,245881768,127163140,98236281,77.25216678355065
Belarus,188312120,104358233,80794100,77.41995784846223
Tanzania,22839948,17957922,13911805,77.46890202552389
"South Africa",3917934843,2676046942,2073198573,77.47242921869493
Benin,24819880,22995631,17840187,77.58076740751319
Canada,18228269647,9499423252,7375066347,77.63699070306464
Barbados,76587881,43101956,33485925,77.69003569118766
Myanmar,1059518789,594516268,461970116,77.70521024666057
"El Salvador",861149111,460327910,359223403,78.03641604090441
Dominica,3358261,1868182,1460145,78.15860553200919
Wales,1810193186,886535676,693174494,78.18912569063944
Ecuador,6187581735,3349395902,2619929755,78.22096376948394
Tunisia,2041177133,1212633261,948637321,78.22953167371516
"British Virgin Islands",1077091,585800,459325,78.40986684875384
Portugal,2035306656,1163282598,914184540,78.58662560342023
"Northern Ireland",953157405,473158659,372151935,78.65267345767839
Thailand,20018354320,10185044923,8014596169,78.68984603986709
Afghanistan,114751937,98211047,77716749,79.13239026970153
Norway,2560999408,1271388625,1012496862,79.6370867326267
Cuba,6317083017,2261240331,1803312537,79.74882246163156
Kosovo,281105466,153018926,122300768,79.92525578175865
Lebanon,969098687,514901243,411675223,79.9522682449613
"Saint Lucia",12407128,6857539,5495242,80.1343164070959
Australia,9733094247,4930807882,3954594758,80.20176110361787
"North Macedonia",127653894,69838754,56043953,80.24764158879466
"Turks and Caicos Islands",1016487,561796,452077,80.46995706626605
Mauritius,47037337,24180536,19472576,80.52996012991606
Burundi,129486,101738,82190,80.78594035660225
Azerbaijan,2241222535,1118311220,905695318,80.98776993402606
Netherlands,1116703932,576457490,467310451,81.06589975958158
Turkey,33873363514,16076281743,13059057856,81.23183000127644
Russia,27768453840,14644237830,11914850374,81.36203817716883
Ukraine,4357666978,2392225901,1951609752,81.58133189613017
Qatar,392631900,224813360,183438766,81.59602525401515
Peru,10520125027,5336745515,4356516952,81.63246569946291
"South Korea",21831406035,10675930193,8725916008,81.73447980880779
Iceland,51942584,26286940,21491957,81.75906743044264
Montserrat,95908,50662,41500,81.91543957996132
Albania,279490449,149987489,123035123,82.0302572036525
France,32177039372,15843577693,13032980027,82.26033462604993
Morocco,4837219083,2591744940,2133597349,82.32281333208661
"Cook Islands",457151,250733,206418,82.32582069372599
Iran,10694476596,5224706726,4307716315,82.44895916479427
Madagascar,13126349,10849531,8955535,82.54306107793968
Jordan,1183954194,645639395,534102037,82.724511722213
Macao,149397962,78475698,65048708,82.89025731252495
"New Zealand",1834291254,912748327,759880739,83.2519454182467
"United States",155013867208,80025415381,66636073783,83.26863842661295
Italy,29713054032,14515374355,12123170801,83.51951871516165
"Wallis and Futuna",352644,191870,160774,83.79319330796893
Liberia,6278623,6627622,5555142,83.81802703895907
Sweden,741237578,352433307,296852905,84.22952629729743
"Trinidad and Tobago",316754503,169792549,143449469,84.48513780189495
Cyprus,163712541,81497830,68883767,84.52220997786077
Curacao,51902234,26507824,22417925,84.57097421500912
"Faeroe Islands",8612023,4403693,3731565,84.73717400372823
Romania,1545979720,870469071,737832347,84.76261496027352
Monaco,864904,461726,392580,85.02445173111326
Austria,596758436,285090938,243268899,85.3302811750544
Mongolia,1091192283,564734574,482643237,85.46373096682407
Germany,38982830332,18851798732,16199397881,85.93025053626485
Hungary,776459796,1478169387,1271031361,85.98685456337353
"Cayman Islands",8594843,4405358,3789433,86.01872991933914
"Hong Kong",2676384608,1368571612,1178770780,86.13146507382034
Kazakhstan,3585428930,2100178063,1812959225,86.32407208416785
Japan,29278408806,15167734059,13147163222,86.67849245549591
Aruba,38528732,20637319,17891413,86.69446355895356
"Central African Republic",9924465,8872497,7709311,86.88998147872013
Spain,13678907794,7467982637,6499505053,87.03160369975026
Estonia,487453125,254747453,221744388,87.04479098364135
Kuwait,183435166,90451621,78743575,87.05601307023564
Belgium,5762415299,2763652487,2406781203,87.08696966501056
Uruguay,1979930902,889650678,774921998,87.10407547174376
Czechia,4168648944,2057189379,1795674129,87.28774061009771
Slovenia,736766851,374347194,327292197,87.43011894994997
Slovakia,254729712,124398457,109333355,87.88963917775926
"New Caledonia",11619229,6183615,5435614,87.90349981362034
"Northern Cyprus",6072790,3130194,2752680,87.93959735402981
"United Arab Emirates",2273749587,1056587583,930416697,88.05864388054236
Lithuania,1114103234,571194255,503194373,88.09513901711074
"French Polynesia",10745478,5711660,5033818,88.13231179727084
Ireland,2468578495,1187626892,1046959092,88.15555618119163
Malaysia,13297513692,6401281444,5649254980,88.25193876290373
Jersey,13560674,6356014,5611956,88.29363811973982
Israel,5743375433,2551248524,2255757795,88.41779911991043
Serbia,1093215957,523102758,462657615,88.44488160775478
Denmark,3032077468,1416481733,1252979746,88.4571764541068
Singapore,3164195328,1468018722,1299549405,88.52403484538122
Chile,11769621615,5347964195,4737303023,88.58142744166221
Bahrain,778833949,361133903,320528212,88.75605678041255
"Sint Maarten (Dutch part)",2096270,1079397,958060,88.75881626500723
Cambodia,6972078336,3413219883,3031611987,88.8197095680636
Poland,11039503924,5600199334,4980923592,88.94189822422489
Latvia,623488904,335902593,298955361,89.0006112575618
Greece,4449067007,2137737332,1903759923,89.05490372939794
Montenegro,139401891,69571787,62067510,89.21362045795948
Liechtenstein,16368068,7849593,7030626,89.56675842938608
Switzerland,3695330150,1785726260,1602418125,89.73481327423612
Gambia,6484672,5800296,5214024,89.89237790623099
Gibraltar,17504557,8257128,7422779,89.8954091543694
Malta,297379346,141327997,127559724,90.25792957357204
Bermuda,3928954,1859933,1689107,90.81547561121826
China,49432323000,21606369000,19948446000,92.32669311534946
Lesotho,5888708,5323071,4960897,93.19614560842791
